"ipm_id","target_name","target_value","precision"
"aaa310","lambda",0.967,2
"aaa322","lambda",0.9607852,3
"aaa323","lambda",1.0134,3
"aaa324","lambda",1.61,2
"aaa325","lambda_1994",0.892,3
"aaa325","lambda_1996",0.766,3
"aaa326","lambda",1,4
"aaa327","lambda",1.01,2
"aaa328","lambda",1.325,3
"aaa329","lambda",NA,NA
"aaa330","lambda",1.05,2
"aaa331","lambda",1.17,2
"aaa332","lambda",1.221,2
"aaa333","lambda",1.301,2
"aaa335","lambda",1.39,2
"aaa336","lambda",2.4,2
"aaa337","lambda",1.48,2
"aaa338","lambda",1.49,2
"aaa339","lambda",1.22,2
"aaa340","lambda",1.26,2
"aaa341","lambda",1.15,2
"aaa342","lambda",1.12,2
"aaaa23","lambda_2006",0.9,2
"aaaa23","lambda_2007",0.93,2
"aaaa23","lambda_2008",1.06,2
"aaaa23","lambda_2009",0.93,2
"aaaa34","lambda",0.9,2
"aaaa35","lambda",1.08,2
"aaaa36","lambda",1.11,2
"aaaa37","lambda",1.43,2
"aaa312","lambda_2013",2.23,2
"aaa312","lambda_2014",1.32,2
"aaa312","lambda_2015",1.53,2
"aaa313","lambda_2013",1.36,2
"aaa313","lambda_2014",1.93,2
"aaa313","lambda_2015",1.16,2
"aaa314","lambda_2013",0.81,2
"aaa314","lambda_2014",1.28,2
"aaa314","lambda_2015",1.12,2
"aaa315","lambda_2013",0.66,2
"aaa315","lambda_2014",0.74,2
"aaa315","lambda_2015",1.11,2
"aaa316","lambda_2014",1.05,2
"aaa316","lambda_2015",0.91,2
"aaa317","lambda_2013",0.67,2
"aaa317","lambda_2014",0.74,2
"aaa317","lambda_2015",1.69,2
"aaa318","lambda_2013",1.01,2
"aaa318","lambda_2014",0.99,2
"aaa318","lambda_2015",1.05,2
"ddddd_1","lambda_a",1.009,2
"ddddd_1","lambda_b",1.508,2
"ddddd2","lambda_a",0.506,2
"ddddd2","lambda_b",1.003,2
"ddddd2","lambda_c",1.499,2
"ddddd3","lambda",1.02,2
"ddddd4",NA,NA,NA
"ddddd5","lambda",1.02,2
"ddddd6","lambda",1.02,2
"ddddd7","lambda",1.053,2
"ddddd8","lambda",1.003,2
"ddddd9","lambda_1",0.801,2
"ddddd9","lambda_2",0.731,2
"dddd10","lambda",0.89,2
"dddd11","lambda",0.94,2
"dddd12","lambda",0.99,2
"dddd13","lambda",0.75,2
"dddd14","lambda",0.87,2
"dddd15","lambda",0.77,2
"dddd16","lambda",0.68,2
"dddd17","lambda",0.87,2
"dddd18","lambda",0.82,2
"dddd19","lambda",0.78,2
"dddd20","lambda",0.78,2
"dddd21","lambda",1.1,2
"dddd22","lambda_guanapo_LPLD",1.72,2
"dddd22","lambda_guanapo_LPHD",1.4,2
"dddd22","lambda_guanapo_HPLD",2.18,2
"dddd22","lambda_guanapo_HPHD",1.48,2
"dddd22","lambda_aripo_LPLD",1.69,2
"dddd22","lambda_aripo_LPHD",1.42,2
"dddd22","lambda_aripo_HPLD",1.95,2
"dddd22","lambda_aripo_HPHD",1.29,2
