"ipm_id","demographic_parameter","state_variable","parameter_name","parameter_value"
"aaaa15","Survival","leafarea","s_0",-2.74
"aaaa15","Survival","leafarea","s_1",0.95
"aaaa15","Survival","leafarea","s_2",0.07
"aaaa15","Survival","leafarea","s_3",-0.02
"aaaa15","Growth","leafarea","g_0",0.76
"aaaa15","Growth","leafarea","g_1",0.9
"aaaa15","Growth","leafarea","g_2",0.03
"aaaa15","Growth","leafarea","g_3",0.006
"aaaa15","Growth","leafarea","g_4",-0.001
"aaaa15","Growth","leafarea","g_5",0.00045
"aaaa15","Growth","leafarea","g_6",-0.0052
"aaaa15","Growth","leafarea","g_7",0.00035
"aaaa15","Growth","leafarea","g_sd",1.53
"aaaa15","Fecundity","leafarea","r_0",-13.23
"aaaa15","Fecundity","leafarea","r_1",1.401
"aaaa15","Fecundity","leafarea","r_2",-0.213
"aaaa15","Fecundity","leafarea","r_3",0.043
"aaaa15","Fecundity","leafarea","i_0",-6.673
"aaaa15","Fecundity","leafarea","i_1",0.829
"aaaa15","Fecundity","leafarea","i_2",0.067
"aaaa15","Fecundity","leafarea","i_3",-0.007
"aaaa15","Fecundity","constant","n_f",23
"aaaa15","Fecundity","constant","n_s",3
"aaaa15","Fecundity","constant","s_sl",0.29
"aaaa15","Fecundity","constant","s_sh",0.32
"aaaa15","Fecundity","constant","sdl_sl",0.14
"aaaa15","Fecundity","constant","sdl_sh",0.95
"aaaa15","Fecundity","constant","sdl_meanl",3.08
"aaaa15","Fecundity","constant","sdl_meanh",2.88
"aaaa15","Fecundity","constant","sdl_sdl",0.54
"aaaa15","Fecundity","constant","sdl_sdh",1.4
"aaaa16","Survival","leafarea","s_0",-2.05
"aaaa16","Survival","leafarea","s_1",0.78
"aaaa16","Survival","leafarea","s_2",-0.22
"aaaa16","Survival","leafarea","s_3",0.05
"aaaa16","Growth","leafarea","g_0",2.6
"aaaa16","Growth","leafarea","g_1",0.56
"aaaa16","Growth","leafarea","g_2",-1.55
"aaaa16","Growth","leafarea","g_3",0.44
"aaaa16","Growth","leafarea","g_4",0.18
"aaaa16","Growth","leafarea","g_5",-0.034
"aaaa16","Growth","leafarea","g_6",0.014
"aaaa16","Growth","leafarea","g_7",-0.0014
"aaaa16","Growth","leafarea","g_sd",0.71
"aaaa16","Fecundity","leafarea","r_0",-12.55
"aaaa16","Fecundity","leafarea","r_1",1.527
"aaaa16","Fecundity","leafarea","r_2",0.154
"aaaa16","Fecundity","leafarea","r_3",-0.013
"aaaa16","Fecundity","leafarea","i_0",-1.009
"aaaa16","Fecundity","leafarea","i_1",0.157
"aaaa16","Fecundity","leafarea","i_2",-0.382
"aaaa16","Fecundity","leafarea","i_3",0.048
"aaaa16","Fecundity","constant","n_f",37
"aaaa16","Fecundity","constant","n_s",2.5
"aaaa16","Fecundity","constant","s_sl",0.15
"aaaa16","Fecundity","constant","s_sh",0.2
"aaaa16","Fecundity","constant","sdl_sl",0.26
"aaaa16","Fecundity","constant","sdl_sh",0.33
"aaaa16","Fecundity","constant","sdl_meanl",2.73
"aaaa16","Fecundity","constant","sdl_meanh",2.34
"aaaa16","Fecundity","constant","sdl_sdl",0.71
"aaaa16","Fecundity","constant","sdl_sdh",1.17
"aaaa17","General","constant","expp",0
"aaaa17","General","constant","wett",0
"aaaa17","Fecundity","constant","rcsz_mu",0.77
"aaaa17","Fecundity","constant","yearling_s",0.4
"aaaa17","Fecundity","constant","rcsz_sd",0.65
"aaaa17","Fecundity","constant","nseed",1.63636363636364
